,Parameter,Value,sender
0,Start simulation,2025-01-12 00:24:54.027060,
1,Simulation configuration ID,9ce3f322-c1e2-4c13-9fff-8db90db19e70,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
