,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2024-12-31 13:56:02.537811,,,,,,,,
1,Simulation configuration ID,e7092043-9bc5-4c78-a333-2803f35f67d5,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,household_agent_94,0.0,66.0,household_agent_93,1111.0,170.0,True,122771.0
1,,,household_agent_94,2.0,300226.0,household_agent_93,1111.0,154.0,True,76143.0
0,,,household_agent_93,1.0,41.0,household_agent_94,1112.0,137.0,True,91371.0
1,,,household_agent_93,3.0,300174.0,household_agent_94,1112.0,169.0,True,213221.0
