,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 21:12:16.938325,,,,,,,,
1,Simulation configuration ID,0a6a8452-892e-4d1b-9d8c-f74f5ff4228c,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,18.0,grid_infrastructure_agent_7,1007.0,112.0,True,22217.0,grid_infrastructure_agent_9
1,,,1.0,18.0,grid_infrastructure_agent_11,1011.0,138.0,True,20003.0,grid_infrastructure_agent_9
0,,,2.0,18.0,grid_infrastructure_agent_7,1007.0,112.0,True,14740.0,grid_infrastructure_agent_11
1,,,3.0,18.0,grid_infrastructure_agent_9,1009.0,99.0,True,22121.0,grid_infrastructure_agent_11
0,,,4.0,18.0,grid_infrastructure_agent_9,1009.0,79.0,True,18282.0,grid_infrastructure_agent_7
1,,,5.0,18.0,grid_infrastructure_agent_11,1011.0,68.0,True,24083.0,grid_infrastructure_agent_7
