,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:25:42.423669,,,,,,,,,
1,Simulation configuration ID,3298c164-8600-473c-95b0-12317127c7ff,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_33,0.0,137.0,household_agent_32,258.0,0.0,54.0,258.0,191.0
1,,,household_agent_18,1.0,158.0,household_agent_19,994.0,0.0,59.0,536.0,217.0
2,,,household_agent_18,1.0,158.0,household_agent_19,994.0,0.0,102.0,458.0,260.0
3,,,household_agent_41,2.0,82.0,household_agent_40,937.0,0.0,49.0,536.0,131.0
4,,,household_agent_41,2.0,82.0,household_agent_40,937.0,0.0,84.0,401.0,166.0
5,,,household_agent_32,3.0,123.0,household_agent_33,875.0,0.0,78.0,536.0,201.0
6,,,household_agent_32,3.0,123.0,household_agent_33,875.0,0.0,121.0,339.0,244.0
7,,,household_agent_19,4.0,165.0,household_agent_18,767.0,0.0,60.0,536.0,225.0
8,,,household_agent_19,4.0,165.0,household_agent_18,767.0,0.0,96.0,231.0,261.0
9,,,household_agent_40,5.0,134.0,household_agent_41,947.0,0.0,54.0,536.0,188.0
10,,,household_agent_40,5.0,134.0,household_agent_41,947.0,0.0,89.0,411.0,223.0
