,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-29 17:45:47.425432,,,,,,
1,Simulation configuration ID,080d4149-ceec-45b0-986e-c6f10ef0a761,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,
0,,,0.0,94.0,household_agent_50,1068.0,41.0,control_center_agent
0,,,1.0,191.0,household_agent_49,1067.0,41.0,household_agent_50
1,,,2.0,191.0,household_agent_51,1069.0,41.0,household_agent_50
2,,,3.0,539.0,control_center_agent,1319.0,41.0,household_agent_50
