,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 16:49:36.107519,,,,,,,,,
1,Simulation configuration ID,b7172427-b67a-46de-8d98-f3a673a53938,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_17,0.0,32.0,grid_infrastructure_agent_16,14.0,0.0,62.0,14.0,94.0
1,,,grid_infrastructure_agent_16,1.0,32.0,grid_infrastructure_agent_17,32.0,0.0,60.0,32.0,92.0
2,,,grid_infrastructure_agent_16,101600.0,27205.0,grid_infrastructure_agent_17,14.0,94.0,60.0,14.0,27265.0
3,,,grid_infrastructure_agent_17,101700.0,15709.0,grid_infrastructure_agent_16,32.0,92.0,63.0,32.0,15772.0
