,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 14:25:22.327917,,,,,,,,,
1,Simulation configuration ID,742cd45b-9408-41e9-b01b-40d3c0f9da18,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_49,0.0,91.0,household_agent_50,864.0,0.0,57.0,536.0,148.0
1,,,household_agent_49,0.0,91.0,household_agent_50,864.0,0.0,92.0,328.0,183.0
2,,,household_agent_28,1.0,142.0,household_agent_29,877.0,0.0,79.0,536.0,221.0
3,,,household_agent_28,1.0,142.0,household_agent_29,877.0,0.0,129.0,341.0,271.0
4,,,household_agent_92,2.0,148.0,household_agent_91,805.0,0.0,46.0,536.0,194.0
5,,,household_agent_92,2.0,148.0,household_agent_91,805.0,0.0,83.0,269.0,231.0
6,,,household_agent_29,3.0,98.0,household_agent_28,438.0,0.0,64.0,438.0,162.0
7,,,household_agent_91,4.0,115.0,household_agent_92,576.0,0.0,57.0,536.0,172.0
8,,,household_agent_91,4.0,115.0,household_agent_92,576.0,0.0,91.0,40.0,206.0
9,,,household_agent_50,5.0,58.0,household_agent_49,772.0,0.0,56.0,536.0,114.0
10,,,household_agent_50,5.0,58.0,household_agent_49,772.0,0.0,90.0,236.0,148.0
