,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 18:00:09.084927,,,,,,,,,
1,Simulation configuration ID,95c76c61-1f9d-40a9-9bca-16577c028d3c,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 67 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_20,0.0,32.0,household_agent_21,53.0,0.0,0.0,53.0,32.0
1,,,household_agent_21,1.0,92.0,household_agent_20,175.0,0.0,0.0,175.0,92.0
2,,,household_agent_49,2.0,102.0,household_agent_50,190.0,0.0,0.0,190.0,102.0
3,,,household_agent_50,3.0,33.0,household_agent_49,154.0,0.0,0.0,154.0,33.0
4,,,household_agent_50,4.0,101.0,household_agent_51,79.0,0.0,0.0,79.0,101.0
5,,,household_agent_52,5.0,109.0,household_agent_51,106.0,0.0,0.0,106.0,109.0
6,,,household_agent_52,6.0,59.0,household_agent_53,157.0,0.0,0.0,157.0,59.0
7,,,household_agent_53,7.0,71.0,household_agent_52,138.0,0.0,0.0,138.0,71.0
8,,,household_agent_51,8.0,94.0,household_agent_50,134.0,0.0,0.0,134.0,94.0
9,,,household_agent_51,9.0,82.0,household_agent_52,104.0,0.0,0.0,104.0,82.0
