,Parameter,Value,sender
0,Start simulation,2024-12-31 15:56:41.371347,
1,Simulation configuration ID,b7f4ed12-cb0a-4dec-85ed-00c8dec053cb,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 326 agents,
4,Agent communication pattern,EVManagementSystem,
5,Trigger Type,EVENT_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
