,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 05:56:03.099109,,,,,,,,
1,Simulation configuration ID,440f7497-df5b-4b09-9225-20edb8a93afd,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,21.0,household_agent_2,1026.0,919.0,True,0.0,household_agent_1
1,,,1.0,21.0,household_agent_11,1035.0,213.0,True,22.0,household_agent_1
2,,,2.0,21.0,household_agent_24,1048.0,972.0,True,21.0,household_agent_1
3,,,3.0,21.0,household_agent_49,1073.0,380.0,True,34.0,household_agent_1
4,,,4.0,21.0,household_agent_77,1101.0,263.0,True,19.0,household_agent_1
5,,,5.0,21.0,generation_agent_17,1141.0,283.0,True,60.0,household_agent_1
6,,,6.0,21.0,generation_agent_20,1144.0,782.0,True,4.0,household_agent_1
7,,,7.0,21.0,generation_agent_63,1187.0,915.0,True,67.0,household_agent_1
8,,,8.0,21.0,generation_agent_66,1190.0,671.0,True,84.0,household_agent_1
9,,,9.0,21.0,generation_agent_68,1192.0,933.0,True,83.0,household_agent_1
10,,,10.0,21.0,storage_agent_3,1227.0,949.0,True,51.0,household_agent_1
11,,,11.0,21.0,storage_agent_47,1271.0,233.0,True,73.0,household_agent_1
12,,,12.0,21.0,storage_agent_59,1283.0,907.0,True,46.0,household_agent_1
13,,,13.0,21.0,storage_agent_69,1293.0,606.0,True,82.0,household_agent_1
14,,,14.0,21.0,household_agent_2,1026.0,978.0,True,82.0,household_agent_1
15,,,15.0,21.0,household_agent_11,1035.0,883.0,True,14.0,household_agent_1
16,,,16.0,21.0,household_agent_24,1048.0,717.0,True,6.0,household_agent_1
17,,,17.0,21.0,household_agent_49,1073.0,681.0,True,37.0,household_agent_1
18,,,18.0,21.0,household_agent_77,1101.0,519.0,True,64.0,household_agent_1
19,,,19.0,21.0,generation_agent_17,1141.0,628.0,True,68.0,household_agent_1
20,,,20.0,21.0,generation_agent_20,1144.0,657.0,True,81.0,household_agent_1
21,,,21.0,21.0,generation_agent_63,1187.0,202.0,True,5.0,household_agent_1
22,,,22.0,21.0,generation_agent_66,1190.0,472.0,True,89.0,household_agent_1
23,,,23.0,21.0,generation_agent_68,1192.0,949.0,True,36.0,household_agent_1
