,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:33:51.874075,,,,,,,,,
1,Simulation configuration ID,beeb50dd-39ae-4f3b-af12-f2f73c574d8f,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_6,0.0,67.0,household_agent_7,41.0,0.0,47.0,41.0,114.0
1,,,household_agent_28,1.0,125.0,household_agent_29,32.0,0.0,47.0,32.0,172.0
2,,,household_agent_32,2.0,143.0,household_agent_33,45.0,0.0,53.0,45.0,196.0
3,,,household_agent_30,3.0,78.0,household_agent_29,14.0,0.0,47.0,14.0,125.0
4,,,household_agent_7,4.0,142.0,household_agent_6,35.0,0.0,47.0,35.0,189.0
5,,,household_agent_33,5.0,134.0,household_agent_32,9.0,0.0,59.0,9.0,193.0
6,,,household_agent_29,6.0,80.0,household_agent_28,45.0,0.0,49.0,45.0,129.0
7,,,household_agent_29,7.0,77.0,household_agent_30,18.0,0.0,47.0,18.0,124.0
