,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:03:03.186884,,,,,,,,,
1,Simulation configuration ID,995a8ab6-483c-4a3f-b743-ab722e4fe429,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_32,0.0,77.0,household_agent_33,791.0,0.0,64.0,536.0,141.0
1,,,household_agent_32,0.0,77.0,household_agent_33,791.0,0.0,105.0,255.0,182.0
2,,,household_agent_32,4.0,262.0,household_agent_33,383.0,0.0,148.0,249.0,410.0
3,,,household_agent_33,1.0,87.0,household_agent_32,938.0,0.0,63.0,536.0,150.0
4,,,household_agent_33,1.0,87.0,household_agent_32,938.0,0.0,105.0,402.0,192.0
5,,,household_agent_33,5.0,295.0,household_agent_32,420.0,0.0,62.0,420.0,357.0
6,,,household_agent_17,2.0,33.0,household_agent_16,882.0,0.0,76.0,536.0,109.0
7,,,household_agent_17,2.0,33.0,household_agent_16,882.0,0.0,134.0,346.0,167.0
8,,,household_agent_17,6.0,291.0,household_agent_16,473.0,0.0,128.0,473.0,419.0
9,,,household_agent_16,3.0,87.0,household_agent_17,959.0,0.0,72.0,536.0,159.0
10,,,household_agent_16,3.0,87.0,household_agent_17,959.0,0.0,119.0,423.0,206.0
11,,,household_agent_16,7.0,284.0,household_agent_17,463.0,0.0,85.0,463.0,369.0
12,,,household_agent_16,104000.0,155.0,household_agent_17,882.0,109.0,73.0,536.0,228.0
13,,,household_agent_16,104000.0,155.0,household_agent_17,882.0,109.0,118.0,346.0,273.0
14,,,household_agent_16,104001.0,213.0,household_agent_17,882.0,167.0,83.0,536.0,296.0
15,,,household_agent_16,104001.0,213.0,household_agent_17,882.0,167.0,141.0,346.0,354.0
16,,,household_agent_16,104002.0,461.0,household_agent_17,473.0,419.0,70.0,473.0,531.0
17,,,household_agent_17,104100.0,190.0,household_agent_16,959.0,159.0,138.0,536.0,328.0
18,,,household_agent_17,104100.0,190.0,household_agent_16,959.0,159.0,199.0,536.0,389.0
19,,,household_agent_17,104101.0,237.0,household_agent_16,959.0,206.0,166.0,536.0,403.0
20,,,household_agent_17,104101.0,237.0,household_agent_16,959.0,206.0,214.0,310.0,451.0
21,,,household_agent_17,104102.0,397.0,household_agent_16,463.0,369.0,81.0,463.0,478.0
22,,,household_agent_32,105600.0,194.0,household_agent_33,938.0,150.0,62.0,536.0,256.0
23,,,household_agent_32,105600.0,194.0,household_agent_33,938.0,150.0,110.0,402.0,304.0
24,,,household_agent_32,105601.0,236.0,household_agent_33,938.0,192.0,88.0,536.0,324.0
25,,,household_agent_32,105601.0,236.0,household_agent_33,938.0,192.0,132.0,536.0,368.0
26,,,household_agent_32,105602.0,397.0,household_agent_33,420.0,357.0,68.0,420.0,465.0
27,,,household_agent_33,105700.0,156.0,household_agent_32,791.0,141.0,63.0,536.0,219.0
28,,,household_agent_33,105700.0,156.0,household_agent_32,791.0,141.0,104.0,255.0,260.0
29,,,household_agent_33,105701.0,197.0,household_agent_32,791.0,182.0,68.0,536.0,265.0
30,,,household_agent_33,105701.0,197.0,household_agent_32,791.0,182.0,115.0,255.0,312.0
31,,,household_agent_33,105702.0,462.0,household_agent_32,383.0,410.0,61.0,383.0,523.0
