,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 00:55:59.595615,,,,,,,,,
1,Simulation configuration ID,96b9157e-586f-4217-ab9f-1bb486082c61,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_4,0.0,35.0,household_agent_5,54.0,0.0,64.0,54.0,99.0
1,,,household_agent_91,1.0,40.0,household_agent_90,127.0,0.0,53.0,127.0,93.0
2,,,household_agent_5,2.0,44.0,household_agent_4,133.0,0.0,66.0,133.0,110.0
3,,,household_agent_90,3.0,92.0,household_agent_91,139.0,0.0,55.0,139.0,147.0
