,Parameter,Value,sender
0,Start simulation,2025-01-08 20:03:30.018081,
1,Simulation configuration ID,0bdd02ce-1085-4f55-a01b-772552599b25,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 332 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
