,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 18:06:43.402848,,,,,,
1,Simulation configuration ID,d74b96e1-c06c-4a3b-bb5f-fd774bd577ba,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,
0,,,0.0,30.0,household_agent_41,1059.0,991.0,control_center_agent
0,,,1.0,261842.0,household_agent_9,1027.0,991.0,household_agent_41
1,,,2.0,261842.0,household_agent_40,1058.0,991.0,household_agent_41
2,,,3.0,261842.0,household_agent_42,1060.0,991.0,household_agent_41
3,,,4.0,261842.0,grid_infrastructure_agent_13,1013.0,991.0,household_agent_41
4,,,5.0,261842.0,household_agent_93,1111.0,991.0,household_agent_41
5,,,6.0,261842.0,grid_infrastructure_agent_15,1015.0,991.0,household_agent_41
6,,,7.0,127297.0,control_center_agent,1319.0,991.0,household_agent_41
