,Parameter,Value,sender
0,Start simulation,2025-01-03 05:59:14.256215,
1,Simulation configuration ID,ed3c21aa-20fb-4903-8aef-8ce665fc83d2,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
