,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-22 04:51:37.440362,,,,,,,,,
1,Simulation configuration ID,8b63dda1-165c-43e0-bb67-e22e7dfbb84c,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_15,0.0,96.0,grid_infrastructure_agent_16,339.0,0.0,55.0,339.0,151.0
1,,,grid_infrastructure_agent_16,1.0,96.0,grid_infrastructure_agent_15,750.0,0.0,57.0,536.0,153.0
2,,,grid_infrastructure_agent_16,1.0,96.0,grid_infrastructure_agent_15,750.0,0.0,92.0,214.0,188.0
