,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:19:54.725264,,,,,,,,,
1,Simulation configuration ID,886f3dca-e3a7-4385-ba29-f1e8269c8705,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_96,0.0,115.0,household_agent_95,98.0,0.0,68.0,98.0,183.0
1,,,household_agent_95,1.0,118.0,household_agent_96,128.0,0.0,61.0,128.0,179.0
2,,,household_agent_78,2.0,50.0,household_agent_77,181.0,0.0,56.0,181.0,106.0
3,,,household_agent_77,3.0,61.0,household_agent_78,107.0,0.0,53.0,107.0,114.0
