,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:55:35.957426,,,,,,,,,
1,Simulation configuration ID,e5da3c6c-db54-497b-bcef-60eeabb8cf34,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 326 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_10,0.0,105.0,household_agent_11,45.0,0.0,0.0,45.0,105.0
1,,,household_agent_66,1.0,71.0,household_agent_65,8.0,0.0,0.0,8.0,71.0
2,,,household_agent_65,2.0,124.0,household_agent_66,23.0,0.0,0.0,23.0,124.0
3,,,household_agent_11,3.0,64.0,household_agent_10,31.0,0.0,0.0,31.0,64.0
4,,,household_agent_10,102800.0,1447.0,household_agent_11,31.0,64.0,0.0,31.0,1447.0
5,,,household_agent_11,102900.0,24406.0,household_agent_10,45.0,105.0,0.0,45.0,24406.0
6,,,household_agent_65,108300.0,18003.0,household_agent_66,8.0,71.0,0.0,8.0,18003.0
7,,,household_agent_66,108400.0,21272.0,household_agent_65,23.0,124.0,0.0,23.0,21272.0
