,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 20:52:52.583740,,,,,,,,,
1,Simulation configuration ID,9fd5d4a2-f2b4-458e-af51-d9a79a178482,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_21,0.0,100.0,grid_infrastructure_agent_20,170.0,0.0,64.0,170.0,164.0
1,,,grid_infrastructure_agent_20,1.0,100.0,grid_infrastructure_agent_21,117.0,0.0,61.0,117.0,161.0
2,,,grid_infrastructure_agent_20,102000.0,526.0,grid_infrastructure_agent_21,170.0,164.0,62.0,170.0,588.0
3,,,grid_infrastructure_agent_21,102100.0,889.0,grid_infrastructure_agent_20,117.0,161.0,62.0,117.0,951.0
