,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-21 19:51:07.899645,,,,,,,,
1,Simulation configuration ID,6bdbe3f6-6bae-4bae-b419-bb9f7cc9e773,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,65.0,grid_infrastructure_agent_11,1011.0,100.0,True,257.0,grid_infrastructure_agent_6
1,,,1.0,65.0,grid_infrastructure_agent_16,1016.0,92.0,True,449.0,grid_infrastructure_agent_6
0,,,2.0,65.0,grid_infrastructure_agent_6,1006.0,177.0,True,581.0,grid_infrastructure_agent_11
1,,,3.0,65.0,grid_infrastructure_agent_16,1016.0,195.0,True,371.0,grid_infrastructure_agent_11
0,,,4.0,65.0,grid_infrastructure_agent_6,1006.0,97.0,True,470.0,grid_infrastructure_agent_16
1,,,5.0,65.0,grid_infrastructure_agent_11,1011.0,101.0,True,240.0,grid_infrastructure_agent_16
