,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-22 01:20:57.797399,,,,,,,,
1,Simulation configuration ID,aa78bb2c-9a39-43e0-9d22-422315abf1d5,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,
0,,,0.0,56.0,substation_agent_0,1323.0,445.0,True,832.0,grid_infrastructure_agent_0
0,,,1.0,56.0,substation_agent_0,1323.0,976.0,True,714.0,grid_infrastructure_agent_4
0,,,2.0,56.0,substation_agent_0,1323.0,847.0,True,828.0,grid_infrastructure_agent_15
0,,,3.0,56.0,substation_agent_0,1323.0,268.0,True,709.0,grid_infrastructure_agent_6
0,,,4.0,56.0,substation_agent_0,1323.0,547.0,True,248.0,grid_infrastructure_agent_10
0,,,5.0,56.0,substation_agent_0,1323.0,788.0,True,918.0,grid_infrastructure_agent_7
0,,,6.0,56.0,substation_agent_0,1323.0,864.0,True,252.0,grid_infrastructure_agent_1
0,,,7.0,56.0,substation_agent_0,1323.0,326.0,True,976.0,grid_infrastructure_agent_8
0,,,8.0,56.0,substation_agent_0,1323.0,225.0,True,466.0,grid_infrastructure_agent_13
0,,,9.0,56.0,substation_agent_0,1323.0,994.0,True,237.0,pdc_agent_0
