,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 17:06:46.918243,,,,,,
1,Simulation configuration ID,6b53ff2d-c37d-40c0-9a6c-3df5af311316,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,
0,,,0.0,27.0,generation_agent_27,1151.0,991.0,control_center_agent
0,,,1.0,26115.0,generation_agent_26,1150.0,991.0,generation_agent_27
1,,,2.0,26115.0,generation_agent_28,1152.0,991.0,generation_agent_27
2,,,3.0,31160.0,control_center_agent,1325.0,991.0,generation_agent_27
