,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 12:35:29.767007,,,,,,,,,,,
1,Simulation configuration ID,2c71d108-b502-4afa-b924-1b87a5ebd58d,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,92.0,generation_agent_27,1145.0,25.0,True,56.0,generation_agent_28,205.0,30.0,287.0
1,,,1.0,92.0,generation_agent_29,1147.0,38.0,True,99.0,generation_agent_28,167.0,35.0,174.0
2,,,2.0,92.0,household_agent_90,1108.0,41.0,True,5.0,generation_agent_28,78.0,38.0,84.0
