,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-22 03:51:00.887711,,,,,,,,
1,Simulation configuration ID,464e3cb6-68ed-4fd1-86ae-3f6b3cedde93,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,44.0,grid_infrastructure_agent_7,1007.0,591.0,True,193106.0,grid_infrastructure_agent_6
0,,,1.0,44.0,grid_infrastructure_agent_6,1006.0,554.0,True,222997.0,grid_infrastructure_agent_7
