,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2025-01-13 18:25:32.418096,,,,,,
1,Simulation configuration ID,22ee8eb3-16f1-4113-a356-5faf9c4adceb,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,900000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,1.0,aggregator_agent,1318.0,98.0,market_agent
0,,,1.0,131.0,generation_agent_21,1139.0,172.0,aggregator_agent
1,,,2.0,131.0,household_agent_0,1018.0,186.0,aggregator_agent
2,,,3.0,131.0,storage_agent_12,1230.0,90.0,aggregator_agent
3,,,4.0,131.0,generation_agent_71,1189.0,85.0,aggregator_agent
4,,,5.0,131.0,household_agent_50,1068.0,139.0,aggregator_agent
5,,,6.0,131.0,generation_agent_47,1165.0,109.0,aggregator_agent
6,,,7.0,131.0,storage_agent_5,1223.0,182.0,aggregator_agent
7,,,8.0,131.0,generation_agent_83,1201.0,84.0,aggregator_agent
8,,,9.0,131.0,generation_agent_17,1135.0,55.0,aggregator_agent
9,,,10.0,131.0,storage_agent_55,1273.0,106.0,aggregator_agent
10,,,11.0,131.0,storage_agent_58,1276.0,148.0,aggregator_agent
11,,,12.0,131.0,household_agent_11,1029.0,155.0,aggregator_agent
12,,,13.0,131.0,generation_agent_33,1151.0,120.0,aggregator_agent
13,,,14.0,131.0,household_agent_54,1072.0,57.0,aggregator_agent
14,,,15.0,131.0,household_agent_92,1110.0,72.0,aggregator_agent
15,,,16.0,204.0,generation_agent_21,1139.0,100.0,aggregator_agent
16,,,17.0,204.0,household_agent_0,1018.0,50.0,aggregator_agent
17,,,18.0,204.0,storage_agent_12,1230.0,124.0,aggregator_agent
18,,,19.0,204.0,generation_agent_71,1189.0,165.0,aggregator_agent
19,,,20.0,204.0,household_agent_50,1068.0,156.0,aggregator_agent
20,,,21.0,204.0,generation_agent_47,1165.0,171.0,aggregator_agent
21,,,22.0,204.0,storage_agent_5,1223.0,140.0,aggregator_agent
22,,,23.0,204.0,generation_agent_83,1201.0,168.0,aggregator_agent
23,,,24.0,204.0,generation_agent_17,1135.0,96.0,aggregator_agent
24,,,25.0,204.0,storage_agent_55,1273.0,100.0,aggregator_agent
25,,,26.0,204.0,storage_agent_58,1276.0,167.0,aggregator_agent
26,,,27.0,204.0,household_agent_11,1029.0,71.0,aggregator_agent
27,,,28.0,204.0,generation_agent_33,1151.0,115.0,aggregator_agent
28,,,29.0,204.0,household_agent_54,1072.0,106.0,aggregator_agent
29,,,30.0,204.0,household_agent_92,1110.0,176.0,aggregator_agent
30,,,31.0,229.0,generation_agent_21,1139.0,131.0,aggregator_agent
31,,,32.0,229.0,household_agent_0,1018.0,174.0,aggregator_agent
32,,,33.0,229.0,storage_agent_12,1230.0,102.0,aggregator_agent
