,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 13:22:16.064096,,,,,,,,,
1,Simulation configuration ID,3df21eef-6151-45f1-b5e2-cd679c8de070,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_40,0.0,91.0,household_agent_41,31.0,0.0,53.0,31.0,144.0
1,,,household_agent_41,1.0,162.0,household_agent_40,24.0,0.0,53.0,24.0,215.0
2,,,household_agent_41,2.0,91.0,household_agent_42,32.0,0.0,47.0,32.0,138.0
3,,,household_agent_81,3.0,94.0,household_agent_82,9.0,0.0,47.0,9.0,141.0
4,,,household_agent_82,4.0,99.0,household_agent_81,23.0,0.0,47.0,23.0,146.0
5,,,household_agent_42,5.0,130.0,household_agent_41,9.0,0.0,47.0,9.0,177.0
6,,,household_agent_40,105800.0,18067.0,household_agent_41,24.0,215.0,53.0,24.0,18120.0
7,,,household_agent_41,105900.0,17706.0,household_agent_40,31.0,144.0,53.0,31.0,17759.0
8,,,household_agent_41,105901.0,19965.0,household_agent_42,9.0,177.0,47.0,9.0,20012.0
9,,,household_agent_42,106000.0,26156.0,household_agent_41,32.0,138.0,47.0,32.0,26203.0
10,,,household_agent_81,109900.0,13834.0,household_agent_82,23.0,146.0,47.0,23.0,13881.0
11,,,household_agent_82,110000.0,4017.0,household_agent_81,9.0,141.0,47.0,9.0,4064.0
