,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2024-12-31 22:00:30.377697,,,,,,,,
1,Simulation configuration ID,a7ae0ff0-43e0-4648-8ded-077f8f37527d,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,41.0,household_agent_0,1024.0,418.0,True,29163.0,household_agent_1
1,,,1.0,40.0,household_agent_2,1026.0,303.0,True,4076.0,household_agent_1
2,,,4.0,30198.0,household_agent_0,1024.0,853.0,True,20108.0,household_agent_1
3,,,5.0,30156.0,household_agent_2,1026.0,713.0,True,27915.0,household_agent_1
0,,,2.0,117.0,household_agent_1,1025.0,277.0,True,3082.0,household_agent_0
1,,,6.0,30138.0,household_agent_1,1025.0,367.0,True,3639.0,household_agent_0
0,,,3.0,114.0,household_agent_1,1025.0,547.0,True,12254.0,household_agent_2
1,,,7.0,30138.0,household_agent_1,1025.0,704.0,True,26319.0,household_agent_2
