,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-20 18:59:40.943042,,,,,,,,
1,Simulation configuration ID,939e588d-44c8-4dcf-a41c-078d05b3b1dd,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Complete Overlay Topology with 330 agents,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,6.0,household_agent_22,1046.0,514.0,True,48.0,storage_agent_77
1,,,1.0,6.0,household_agent_30,1054.0,255.0,True,8.0,storage_agent_77
2,,,2.0,6.0,household_agent_39,1063.0,644.0,True,99.0,storage_agent_77
3,,,3.0,6.0,household_agent_46,1070.0,453.0,True,36.0,storage_agent_77
4,,,4.0,6.0,household_agent_64,1088.0,569.0,True,70.0,storage_agent_77
5,,,5.0,6.0,generation_agent_1,1125.0,837.0,True,48.0,storage_agent_77
6,,,6.0,6.0,generation_agent_41,1165.0,773.0,True,82.0,storage_agent_77
7,,,7.0,6.0,generation_agent_59,1183.0,589.0,True,57.0,storage_agent_77
8,,,8.0,6.0,generation_agent_89,1213.0,837.0,True,96.0,storage_agent_77
9,,,9.0,6.0,storage_agent_8,1232.0,892.0,True,43.0,storage_agent_77
10,,,10.0,6.0,storage_agent_46,1270.0,942.0,True,46.0,storage_agent_77
11,,,11.0,6.0,storage_agent_73,1297.0,558.0,True,36.0,storage_agent_77
12,,,12.0,6.0,storage_agent_74,1298.0,209.0,True,80.0,storage_agent_77
13,,,13.0,6.0,storage_agent_81,1305.0,247.0,True,47.0,storage_agent_77
14,,,14.0,6.0,household_agent_22,1046.0,262.0,True,97.0,storage_agent_77
15,,,15.0,6.0,household_agent_30,1054.0,771.0,True,29.0,storage_agent_77
16,,,16.0,6.0,household_agent_39,1063.0,891.0,True,8.0,storage_agent_77
17,,,17.0,6.0,household_agent_46,1070.0,904.0,True,12.0,storage_agent_77
18,,,18.0,6.0,household_agent_64,1088.0,289.0,True,63.0,storage_agent_77
19,,,19.0,6.0,generation_agent_1,1125.0,638.0,True,59.0,storage_agent_77
20,,,20.0,6.0,generation_agent_41,1165.0,723.0,True,35.0,storage_agent_77
21,,,21.0,6.0,generation_agent_59,1183.0,328.0,True,30.0,storage_agent_77
22,,,22.0,6.0,generation_agent_89,1213.0,230.0,True,73.0,storage_agent_77
23,,,23.0,6.0,storage_agent_8,1232.0,250.0,True,50.0,storage_agent_77
24,,,24.0,6.0,storage_agent_46,1270.0,209.0,True,28.0,storage_agent_77
25,,,25.0,6.0,storage_agent_73,1297.0,878.0,True,30.0,storage_agent_77
26,,,26.0,6.0,storage_agent_74,1298.0,738.0,True,69.0,storage_agent_77
27,,,27.0,6.0,storage_agent_81,1305.0,638.0,True,25.0,storage_agent_77
28,,,28.0,6.0,household_agent_22,1046.0,243.0,True,61.0,storage_agent_77
29,,,29.0,6.0,household_agent_30,1054.0,432.0,True,40.0,storage_agent_77
30,,,30.0,6.0,household_agent_39,1063.0,772.0,True,54.0,storage_agent_77
31,,,31.0,6.0,household_agent_46,1070.0,269.0,True,3.0,storage_agent_77
32,,,32.0,6.0,household_agent_64,1088.0,976.0,True,73.0,storage_agent_77
33,,,33.0,6.0,generation_agent_1,1125.0,255.0,True,58.0,storage_agent_77
34,,,34.0,6.0,generation_agent_41,1165.0,821.0,True,27.0,storage_agent_77
35,,,35.0,6.0,generation_agent_59,1183.0,970.0,True,32.0,storage_agent_77
36,,,36.0,6.0,generation_agent_89,1213.0,419.0,True,69.0,storage_agent_77
37,,,37.0,6.0,storage_agent_8,1232.0,321.0,True,35.0,storage_agent_77
38,,,38.0,6.0,storage_agent_46,1270.0,270.0,True,27.0,storage_agent_77
39,,,39.0,6.0,storage_agent_73,1297.0,480.0,True,83.0,storage_agent_77
40,,,40.0,6.0,storage_agent_74,1298.0,472.0,True,40.0,storage_agent_77
41,,,41.0,6.0,storage_agent_81,1305.0,483.0,True,20.0,storage_agent_77
42,,,42.0,6.0,household_agent_22,1046.0,783.0,True,49.0,storage_agent_77
43,,,43.0,6.0,household_agent_30,1054.0,618.0,True,3.0,storage_agent_77
44,,,44.0,6.0,household_agent_39,1063.0,493.0,True,0.0,storage_agent_77
45,,,45.0,6.0,household_agent_46,1070.0,873.0,True,11.0,storage_agent_77
46,,,46.0,6.0,household_agent_64,1088.0,481.0,True,59.0,storage_agent_77
47,,,47.0,6.0,generation_agent_1,1125.0,261.0,True,13.0,storage_agent_77
48,,,48.0,6.0,generation_agent_41,1165.0,430.0,True,89.0,storage_agent_77
49,,,49.0,6.0,generation_agent_59,1183.0,619.0,True,34.0,storage_agent_77
50,,,50.0,6.0,generation_agent_89,1213.0,285.0,True,10.0,storage_agent_77
51,,,51.0,6.0,storage_agent_8,1232.0,460.0,True,47.0,storage_agent_77
52,,,52.0,6.0,storage_agent_46,1270.0,442.0,True,28.0,storage_agent_77
53,,,53.0,6.0,storage_agent_73,1297.0,602.0,True,19.0,storage_agent_77
54,,,54.0,6.0,storage_agent_74,1298.0,950.0,True,75.0,storage_agent_77
55,,,55.0,6.0,storage_agent_81,1305.0,691.0,True,99.0,storage_agent_77
56,,,56.0,6.0,household_agent_22,1046.0,698.0,True,7.0,storage_agent_77
57,,,57.0,6.0,household_agent_30,1054.0,959.0,True,9.0,storage_agent_77
58,,,58.0,6.0,household_agent_39,1063.0,560.0,True,38.0,storage_agent_77
