,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 09:09:20.950491,,,,,,
1,Simulation configuration ID,0326e0e5-7e9d-433d-8f72-396e02332001,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,70.0,aggregator_agent,1318.0,191.0,control_center_agent
0,,,1.0,147.0,household_agent_52,1070.0,191.0,aggregator_agent
1,,,5.0,522883.0,control_center_agent,1319.0,191.0,aggregator_agent
0,,,2.0,159902.0,household_agent_51,1069.0,191.0,household_agent_52
1,,,3.0,159902.0,household_agent_53,1071.0,191.0,household_agent_52
2,,,4.0,425189.0,aggregator_agent,1318.0,191.0,household_agent_52
