,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-21 16:07:55.784704,,,,,,,,,
1,Simulation configuration ID,c55a73dd-9fdd-4fce-a321-b4f517c89a39,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 326 agents,,,,,,,,,
4,Agent communication pattern,VoltageRegulation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,grid_infrastructure_agent_13,0.0,20.0,grid_infrastructure_agent_14,33.0,0.0,0.0,33.0,20.0
1,,,grid_infrastructure_agent_14,1.0,20.0,grid_infrastructure_agent_13,23.0,0.0,0.0,23.0,20.0
2,,,grid_infrastructure_agent_13,101300.0,6617.0,grid_infrastructure_agent_14,23.0,20.0,0.0,23.0,6617.0
3,,,grid_infrastructure_agent_14,101400.0,22639.0,grid_infrastructure_agent_13,33.0,20.0,0.0,33.0,22639.0
