,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 23:36:36.298633,,,,,,,,,
1,Simulation configuration ID,bdc80ffc-5a40-4c21-b5eb-0f1b3dcc5d49,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_64,0.0,133.0,household_agent_65,619.0,0.0,63.0,536.0,196.0
1,,,household_agent_64,0.0,133.0,household_agent_65,619.0,0.0,89.0,83.0,222.0
2,,,household_agent_64,4.0,248.0,household_agent_65,396.0,0.0,61.0,396.0,309.0
3,,,household_agent_65,1.0,132.0,household_agent_64,294.0,0.0,70.0,294.0,202.0
4,,,household_agent_65,5.0,243.0,household_agent_64,850.0,0.0,75.0,536.0,318.0
5,,,household_agent_65,5.0,243.0,household_agent_64,850.0,0.0,122.0,314.0,365.0
6,,,household_agent_92,2.0,105.0,household_agent_93,617.0,0.0,68.0,536.0,173.0
7,,,household_agent_92,2.0,105.0,household_agent_93,617.0,0.0,109.0,81.0,214.0
8,,,household_agent_92,6.0,257.0,household_agent_93,796.0,0.0,179.0,317.0,436.0
9,,,household_agent_93,3.0,60.0,household_agent_92,593.0,0.0,65.0,536.0,125.0
10,,,household_agent_93,3.0,60.0,household_agent_92,593.0,0.0,105.0,57.0,165.0
11,,,household_agent_93,7.0,270.0,household_agent_92,809.0,0.0,81.0,536.0,351.0
12,,,household_agent_93,7.0,270.0,household_agent_92,809.0,0.0,128.0,536.0,398.0
13,,,household_agent_64,108800.0,296.0,household_agent_65,294.0,202.0,57.0,294.0,353.0
14,,,household_agent_64,108801.0,364.0,household_agent_65,850.0,318.0,57.0,536.0,421.0
15,,,household_agent_64,108801.0,364.0,household_agent_65,850.0,318.0,107.0,314.0,471.0
16,,,household_agent_64,108802.0,411.0,household_agent_65,850.0,365.0,75.0,536.0,486.0
17,,,household_agent_64,108802.0,411.0,household_agent_65,850.0,365.0,116.0,314.0,527.0
18,,,household_agent_65,108900.0,294.0,household_agent_64,619.0,196.0,103.0,536.0,397.0
19,,,household_agent_65,108900.0,294.0,household_agent_64,619.0,196.0,155.0,536.0,449.0
20,,,household_agent_65,108901.0,320.0,household_agent_64,619.0,222.0,173.0,166.0,493.0
21,,,household_agent_65,108902.0,399.0,household_agent_64,396.0,309.0,73.0,396.0,472.0
22,,,household_agent_92,111600.0,215.0,household_agent_93,593.0,125.0,68.0,536.0,283.0
23,,,household_agent_92,111600.0,215.0,household_agent_93,593.0,125.0,107.0,57.0,322.0
24,,,household_agent_92,111601.0,255.0,household_agent_93,593.0,165.0,76.0,536.0,331.0
25,,,household_agent_92,111601.0,255.0,household_agent_93,593.0,165.0,135.0,536.0,390.0
26,,,household_agent_92,111602.0,436.0,household_agent_93,809.0,351.0,67.0,536.0,503.0
27,,,household_agent_92,111602.0,436.0,household_agent_93,809.0,351.0,110.0,273.0,546.0
28,,,household_agent_92,111603.0,483.0,household_agent_93,809.0,398.0,82.0,536.0,565.0
29,,,household_agent_92,111603.0,483.0,household_agent_93,809.0,398.0,125.0,273.0,608.0
30,,,household_agent_93,111700.0,238.0,household_agent_92,617.0,173.0,98.0,536.0,336.0
31,,,household_agent_93,111700.0,238.0,household_agent_92,617.0,173.0,138.0,81.0,376.0
32,,,household_agent_93,111701.0,279.0,household_agent_92,617.0,214.0,165.0,354.0,444.0
33,,,household_agent_93,111702.0,483.0,household_agent_92,796.0,436.0,68.0,536.0,551.0
34,,,household_agent_93,111702.0,483.0,household_agent_92,796.0,436.0,116.0,260.0,599.0
