,Parameter,Value,sender,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms
0,Start simulation,2024-12-31 09:44:01.723229,,,,,,,,
1,Simulation configuration ID,45dc6ab3-dfea-407b-9e97-f5e3cc331abc,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,30000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,household_agent_46,0.0,129.0,household_agent_47,1065.0,24.0,True,238699.0
1,,,household_agent_46,2.0,300225.0,household_agent_47,1065.0,34.0,True,33141.0
0,,,household_agent_47,1.0,120.0,household_agent_46,1064.0,37.0,True,121172.0
1,,,household_agent_47,3.0,300246.0,household_agent_46,1064.0,50.0,True,281558.0
