,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 15:58:02.407852,,,,,,,,,
1,Simulation configuration ID,68a84fae-bd90-4456-bae8-ea151afde8cd,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 326 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_53,0.0,193.0,household_agent_52,127.0,0.0,0.0,127.0,193.0
1,,,household_agent_53,2.0,310.0,household_agent_52,82.0,0.0,0.0,82.0,310.0
2,,,household_agent_52,1.0,117.0,household_agent_53,158.0,0.0,0.0,158.0,117.0
3,,,household_agent_52,3.0,369.0,household_agent_53,56.0,0.0,0.0,56.0,369.0
4,,,household_agent_52,107000.0,201.0,household_agent_53,127.0,193.0,0.0,127.0,201.0
5,,,household_agent_52,107001.0,380.0,household_agent_53,82.0,310.0,0.0,82.0,380.0
6,,,household_agent_53,107100.0,153.0,household_agent_52,158.0,117.0,0.0,158.0,153.0
7,,,household_agent_53,107101.0,448.0,household_agent_52,56.0,369.0,0.0,56.0,448.0
