,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 14:17:02.940887,,,,,,,,,
1,Simulation configuration ID,fa87b196-8ec1-4c79-87bb-d27d189ae790,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_46,0.0,134.0,household_agent_45,214.0,0.0,56.0,214.0,190.0
1,,,household_agent_46,1.0,159.0,household_agent_47,318.0,0.0,48.0,318.0,207.0
2,,,household_agent_79,2.0,67.0,household_agent_80,675.0,0.0,49.0,536.0,116.0
3,,,household_agent_79,2.0,67.0,household_agent_80,675.0,0.0,83.0,139.0,150.0
4,,,household_agent_80,3.0,75.0,household_agent_79,323.0,0.0,47.0,323.0,122.0
5,,,household_agent_92,4.0,89.0,household_agent_93,740.0,0.0,55.0,536.0,144.0
6,,,household_agent_92,4.0,89.0,household_agent_93,740.0,0.0,89.0,204.0,178.0
7,,,household_agent_93,5.0,120.0,household_agent_92,320.0,0.0,55.0,320.0,175.0
8,,,household_agent_47,6.0,77.0,household_agent_46,930.0,0.0,49.0,536.0,126.0
9,,,household_agent_47,6.0,77.0,household_agent_46,930.0,0.0,83.0,394.0,160.0
10,,,household_agent_45,7.0,123.0,household_agent_46,952.0,0.0,52.0,536.0,175.0
11,,,household_agent_45,7.0,123.0,household_agent_46,952.0,0.0,93.0,416.0,216.0
12,,,household_agent_45,106300.0,28078.0,household_agent_46,214.0,190.0,47.0,214.0,28125.0
13,,,household_agent_46,106400.0,29393.0,household_agent_47,930.0,126.0,51.0,536.0,29444.0
14,,,household_agent_46,106400.0,29393.0,household_agent_47,930.0,126.0,87.0,394.0,29480.0
15,,,household_agent_46,106401.0,29427.0,household_agent_47,930.0,160.0,67.0,536.0,29494.0
16,,,household_agent_46,106401.0,29427.0,household_agent_47,930.0,160.0,103.0,394.0,29530.0
17,,,household_agent_46,106402.0,4120.0,household_agent_45,952.0,175.0,51.0,536.0,4171.0
18,,,household_agent_46,106402.0,4120.0,household_agent_45,952.0,175.0,88.0,416.0,4208.0
19,,,household_agent_46,106403.0,4161.0,household_agent_45,952.0,216.0,61.0,536.0,4222.0
20,,,household_agent_46,106403.0,4161.0,household_agent_45,952.0,216.0,98.0,416.0,4259.0
21,,,household_agent_47,106500.0,17430.0,household_agent_46,318.0,207.0,47.0,318.0,17477.0
22,,,household_agent_79,109700.0,12062.0,household_agent_80,323.0,122.0,47.0,323.0,12109.0
23,,,household_agent_80,109800.0,13875.0,household_agent_79,675.0,116.0,49.0,536.0,13924.0
24,,,household_agent_80,109800.0,13875.0,household_agent_79,675.0,116.0,83.0,139.0,13958.0
25,,,household_agent_80,109801.0,13909.0,household_agent_79,675.0,150.0,61.0,536.0,13970.0
26,,,household_agent_80,109801.0,13909.0,household_agent_79,675.0,150.0,95.0,139.0,14004.0
27,,,household_agent_92,111000.0,6491.0,household_agent_93,320.0,175.0,53.0,320.0,6544.0
28,,,household_agent_93,111100.0,22796.0,household_agent_92,740.0,144.0,58.0,536.0,22854.0
29,,,household_agent_93,111100.0,22796.0,household_agent_92,740.0,144.0,93.0,204.0,22889.0
30,,,household_agent_93,111101.0,22830.0,household_agent_92,740.0,178.0,75.0,536.0,22905.0
31,,,household_agent_93,111101.0,22830.0,household_agent_92,740.0,178.0,110.0,204.0,22940.0
