,Parameter,Value,sender
0,Start simulation,2025-01-22 01:36:09.106152,
1,Simulation configuration ID,d0538a47-5a18-4d76-9320-17f7c595d1af,
2,Network,SimbenchNetwork_Ethernet_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 326 agents and p = 0.5,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
