,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 01:24:22.177166,,,,,,,,,
1,Simulation configuration ID,a7e57cc9-83c1-4ea2-8e4a-f1b0448483e8,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_25,0.0,160.0,household_agent_26,551.0,0.0,63.0,536.0,223.0
1,,,household_agent_25,0.0,160.0,household_agent_26,551.0,0.0,95.0,15.0,255.0
2,,,household_agent_26,1.0,134.0,household_agent_25,722.0,0.0,59.0,536.0,193.0
3,,,household_agent_26,1.0,134.0,household_agent_25,722.0,0.0,100.0,186.0,234.0
