,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,sender
0,Start simulation,2024-12-30 00:49:32.641987,,,,,,
1,Simulation configuration ID,7f66fa51-dba9-40fc-9394-5ee0f2c990da,,,,,,
2,Network,SimbenchNetwork_LTE_1-MV-urban--1-no_sw,,,,,,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,
7,Frequency,0,,,,,,
8,Simulation duration,30000,,,,,,
9,Communication mode,COMPLEX,,,,,,
10,System State,SystemState.NORMAL,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,
0,,,0.0,99.0,aggregator_agent,1318.0,41.0,control_center_agent
0,,,1.0,105.0,household_agent_80,1098.0,41.0,aggregator_agent
1,,,10.0,232791.0,control_center_agent,1319.0,41.0,aggregator_agent
0,,,2.0,275669.0,household_agent_79,1097.0,41.0,household_agent_80
1,,,3.0,275669.0,household_agent_81,1099.0,41.0,household_agent_80
2,,,4.0,275669.0,generation_agent_16,1134.0,41.0,household_agent_80
3,,,5.0,83530.0,household_agent_81,1099.0,41.0,household_agent_80
4,,,7.0,368286.0,household_agent_81,1099.0,41.0,household_agent_80
5,,,9.0,130929.0,aggregator_agent,1318.0,41.0,household_agent_80
0,,,6.0,83530.0,household_agent_80,1098.0,41.0,household_agent_81
1,,,8.0,368286.0,household_agent_80,1098.0,41.0,household_agent_81
