,Parameter,Value,sender
0,Start simulation,2025-01-21 16:53:28.563426,
1,Simulation configuration ID,9c2fee7c-735b-44bb-b92a-83aebe2b8f4b,
2,Network,SimbenchNetwork_Ethernet_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 332 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
