,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:07:24.744738,,,,,,,,,
1,Simulation configuration ID,36b83e2b-81b9-4e4f-88f3-2c3bdb7fe9b5,,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_1,0.0,128.0,household_agent_2,35.0,0.0,47.0,35.0,175.0
1,,,household_agent_18,1.0,107.0,household_agent_17,45.0,0.0,47.0,45.0,154.0
2,,,household_agent_18,2.0,135.0,household_agent_19,13.0,0.0,65.0,13.0,200.0
3,,,household_agent_19,3.0,140.0,household_agent_18,40.0,0.0,75.0,40.0,215.0
4,,,household_agent_19,4.0,109.0,household_agent_20,16.0,0.0,61.0,16.0,170.0
5,,,household_agent_20,5.0,187.0,household_agent_19,34.0,0.0,60.0,34.0,247.0
6,,,household_agent_17,6.0,134.0,household_agent_18,28.0,0.0,45.0,28.0,179.0
7,,,household_agent_2,7.0,170.0,household_agent_1,48.0,0.0,47.0,48.0,217.0
8,,,household_agent_1,100400.0,23520.0,household_agent_2,48.0,217.0,47.0,48.0,23567.0
9,,,household_agent_2,100500.0,11293.0,household_agent_1,35.0,175.0,47.0,35.0,11340.0
10,,,household_agent_17,102000.0,24962.0,household_agent_18,45.0,154.0,47.0,45.0,25009.0
11,,,household_agent_18,102100.0,17998.0,household_agent_17,28.0,179.0,47.0,28.0,18045.0
12,,,household_agent_18,102101.0,16486.0,household_agent_19,40.0,215.0,53.0,40.0,16539.0
13,,,household_agent_19,102200.0,23916.0,household_agent_18,13.0,200.0,53.0,13.0,23969.0
14,,,household_agent_19,102201.0,3507.0,household_agent_20,34.0,247.0,59.0,34.0,3566.0
15,,,household_agent_20,102300.0,24084.0,household_agent_19,16.0,170.0,60.0,16.0,24144.0
