,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B,reply,replyAfter_ms,sender
0,Start simulation,2025-01-12 20:51:44.772023,,,,,,,,
1,Simulation configuration ID,891513eb-216a-4f5b-94a5-3e7242525ce4,,,,,,,,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,
7,Frequency,0,,,,,,,,
8,Simulation duration,900000,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,
0,,,0.0,5.0,generation_agent_4,1128.0,95.0,True,68.0,generation_agent_95
1,,,1.0,5.0,generation_agent_4,1128.0,101.0,True,62.0,generation_agent_95
2,,,2.0,5.0,generation_agent_4,1128.0,149.0,True,85.0,generation_agent_95
3,,,3.0,5.0,generation_agent_4,1128.0,90.0,True,4.0,generation_agent_95
4,,,4.0,5.0,generation_agent_4,1128.0,95.0,True,72.0,generation_agent_95
