,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:39:58.487328,,,,,,,,,
1,Simulation configuration ID,9b318793-9753-45e4-8245-32cd79aad081,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_8,0.0,50.0,household_agent_9,144.0,0.0,47.0,144.0,97.0
1,,,household_agent_9,1.0,141.0,household_agent_8,109.0,0.0,47.0,109.0,188.0
2,,,household_agent_30,2.0,135.0,household_agent_29,179.0,0.0,47.0,179.0,182.0
3,,,household_agent_29,3.0,140.0,household_agent_30,140.0,0.0,47.0,140.0,187.0
4,,,household_agent_8,101100.0,3645.0,household_agent_9,109.0,188.0,47.0,109.0,3692.0
5,,,household_agent_9,101200.0,7502.0,household_agent_8,144.0,97.0,47.0,144.0,7549.0
6,,,household_agent_29,103200.0,29483.0,household_agent_30,179.0,182.0,47.0,179.0,29530.0
7,,,household_agent_30,103300.0,25501.0,household_agent_29,140.0,187.0,47.0,140.0,25548.0
