,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,reply,replyAfter_ms,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-02 05:04:15.077601,,,,,,,,,,,
1,Simulation configuration ID,3f35876e-9aa6-4618-aa1b-c9abb4034a10,,,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,,,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 330 agents,,,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,,,
7,Frequency,0,,,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,,,
0,,,0.0,97.0,storage_agent_86,1310.0,584.0,True,20338.0,storage_agent_87,71.0,536.0,84.0
1,,,0.0,97.0,storage_agent_86,1310.0,584.0,True,20338.0,storage_agent_87,103.0,413.0,116.0
2,,,1.0,97.0,storage_agent_88,1312.0,397.0,True,25844.0,storage_agent_87,303.0,374.0,363.0
