,Parameter,Value,sender,msgId,timeSend_ms,receiver,packetSize_B_x,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-31 17:50:12.401121,,,,,,,,,
1,Simulation configuration ID,e6e9768e-89de-496b-9d00-6ced3d55b7e7,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-LV-semiurb4--1-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 65 agents,,,,,,,,,
4,Agent communication pattern,EVManagementSystem,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,household_agent_1,0.0,63.0,household_agent_0,667.0,0.0,49.0,536.0,112.0
1,,,household_agent_1,0.0,63.0,household_agent_0,667.0,0.0,83.0,131.0,146.0
2,,,household_agent_0,1.0,116.0,household_agent_1,373.0,0.0,51.0,373.0,167.0
