,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-07-30 22:17:41.861540,,,,,,,,,
1,Simulation configuration ID,73a6c029-5497-4e43-a53d-370f721e972e,,,,,,,,,
2,Network,SimbenchNetwork_5G_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 15 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,MarketParticipation,,,,,,,,,
5,Trigger Type,TIME_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,3600000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,68.0,household_agent_10,57.0,household_agent_3,0.0,41.0,57.0,109.0
1,,,1.0,68.0,household_agent_11,89.0,household_agent_3,0.0,52.0,89.0,120.0
2,,,101000.0,126721.0,household_agent_3,57.0,household_agent_10,109.0,47.0,57.0,126768.0
3,,,101100.0,263053.0,household_agent_3,89.0,household_agent_11,120.0,47.0,89.0,263100.0
